player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ALERTA JOEB,1507.5620878763866,155.4162738844742,0.059997333613238155,1514.0835193050696,265.73688345166727,0.05999859640977149,5.0,0.2,1.0,-4.0,2.0,3.0,0.0,1.0
ANDRINO GILBERT,1446.32202557551,152.16903225848606,0.05999738307206409,,,,5.0,-1.8,0.0,,1.0,4.0,,
ANG SEAN TIMOTHY,1351.505229855939,97.75804093430699,0.05997833075091266,,,,20.0,-2.15,0.0,,3.0,17.0,,
ARIAS ANTHONY BERNARD,1443.267366379456,82.92462905405161,0.059966982644210666,1356.196524614594,178.4848349541465,0.05999357252720711,24.0,-1.0833333333333333,4.0,-7.5,6.0,18.0,0.0,4.0
ARIAS CALEB LEON,1378.5641038838887,91.29924226465864,0.05997504583065299,1508.9905103555066,260.06482857995934,0.059998512408957524,25.0,-1.92,1.0,-2.0,4.0,21.0,0.0,1.0
ASERON JOSE GABRIEL,1497.7050074175831,157.58594936497386,0.0599973506075327,,,,5.0,-1.0,0.0,,1.0,4.0,,
BAMBRICK CURTIS,1224.5143094275468,152.58426097152,0.05999936492791564,,,,5.0,-4.2,0.0,,0.0,5.0,,
BAROQUILLO FERDINAND,1282.3810943967087,133.82839876976587,0.05999364070747902,,,,9.0,-3.0,0.0,,0.0,9.0,,
BARRIENTOS JOHN PAUL,1236.057987399847,153.57068758916688,0.059999204364837994,,,,5.0,-4.2,0.0,,0.0,5.0,,
BAUTISTA GABRIEL ANTONIO,1300.4791503533957,100.2179170459663,0.05998383870587852,,,,19.0,-2.526315789473684,0.0,,2.0,17.0,,
BAUTISTA JIAN MIGUEL,1696.0735905773222,90.41015851904984,0.0599810518218856,1642.0967009978506,85.12350242574423,0.05996868822364062,25.0,2.6,22.0,3.590909090909091,23.0,2.0,18.0,4.0
BAUTISTA JOSE LORENZO,1517.929014762265,94.76548127863757,0.059984097513467734,1396.7790410398914,167.44724475650378,0.0599927323462479,20.0,-0.2,5.0,-4.6,9.0,11.0,1.0,4.0
BERNAL KIETH MEANFRED,1436.2926010598599,124.33466237129487,0.05999126693841404,1456.788040442491,232.6894313871085,0.05999725666297555,10.0,-1.1,2.0,-3.5,3.0,7.0,0.0,2.0
BLANCH ALECSANDREI ETHAN,1546.8318176250984,90.56692307015553,0.05997587304158601,1484.1649015796777,146.93431500871665,0.0599901836436287,20.0,0.55,7.0,-1.0,11.0,9.0,3.0,4.0
BOO TRUE MALACHI,1355.7410938273333,193.5342749631397,0.05999825637952042,1445.5171810867687,270.88963846869297,0.05999874640200123,5.0,-2.0,1.0,-8.0,1.0,4.0,0.0,1.0
BUENTIPO JR. MEYNARDO EDWARD CARLO,1612.6454162897185,97.1523881065219,0.059982831379173464,1499.1285481428233,153.95203610960132,0.05999116977524606,19.0,1.6842105263157894,6.0,-0.8333333333333334,15.0,4.0,2.0,4.0
BUGARING DENZEL KENT,1372.479068547545,86.9987580026646,0.059970336788183094,1399.661215279963,232.51475748594808,0.05999741123829672,25.0,-2.0,2.0,-10.0,4.0,21.0,0.0,2.0
BUNAGAN GABRIEL,1464.7131306785268,83.44055006797032,0.059966735731503865,1414.22609961533,153.37144109334594,0.05999039284550892,23.0,-0.6086956521739131,6.0,-4.0,9.0,14.0,1.0,5.0
CABRERA JOSE FABER,1493.537245373669,138.67210914923817,0.05999932695748693,1583.7843978099613,188.92923148063673,0.05999643214956846,10.0,0.7,5.0,3.6,6.0,4.0,4.0,1.0
CANAVERAL JUDE KADMIEL,1309.8571958511825,169.5410515359441,0.05999843609902421,,,,5.0,-3.0,0.0,,0.0,5.0,,
CAPINA DUNHILL,1564.3217433624318,85.24253240385585,0.059988327377701114,1397.2431970820871,151.87238016978026,0.059990093461652794,25.0,1.04,6.0,-4.0,18.0,7.0,1.0,5.0
CARLOS KYLE ADAM,1267.0303988239202,144.24087924047473,0.059994701236124576,,,,10.0,-2.9,0.0,,1.0,9.0,,
CASTILLO RENZO VAN JORDZ,1316.5930045421092,149.87100514285024,0.05999819766756313,,,,5.0,-3.4,0.0,,0.0,5.0,,
CHAN JOAQUIN BENITO,1559.7731185615914,172.40088526955807,0.05999757973871588,1460.1565080295172,270.3160841845237,0.0599987005710754,4.0,0.5,1.0,-1.0,2.0,2.0,0.0,1.0
COMALING MICHAEL VER ANTON,1410.4151994805911,171.35074379807813,0.059997690606381764,1445.8963693950152,290.3189618476294,0.059999040766870036,5.0,-0.8,1.0,-5.0,1.0,4.0,0.0,1.0
CONTADO ALJOR,1542.0053566414263,85.90043658489047,0.0599794257521222,1489.7949690067057,128.62677252002342,0.05998704954206145,20.0,0.65,9.0,-0.6666666666666666,11.0,9.0,5.0,4.0
CORSIGA RAFAEL,1366.8972128007815,128.98958587995472,0.05999349822021095,1455.6093248707039,273.76515931186253,0.05999876180255518,10.0,-2.0,1.0,-4.0,2.0,8.0,0.0,1.0
DATOR ALLAN,1447.3883319082784,84.63369425451664,0.059968257098047956,1454.850301265976,137.76634193284323,0.05998795292600123,24.0,-0.75,8.0,-2.875,10.0,14.0,3.0,5.0
DE GUZMAN REYNALDO,1368.7781603069616,166.55592398886648,0.05999789582302022,1423.2699052487696,264.940320918194,0.05999873912087779,5.0,-2.0,1.0,-9.0,2.0,3.0,0.0,1.0
DE LUSONG JR MARK ANTHONY,1349.7270149603164,153.21432857408428,0.059997925536079154,,,,5.0,-2.8,0.0,,0.0,5.0,,
DE SILOS JOAQUIN PABLO,1391.9167945391353,86.38664831485158,0.059973217888545,1359.6068084769122,212.75235825454044,0.059996309361383726,25.0,-1.48,3.0,-6.333333333333333,6.0,19.0,0.0,3.0
DEL CASTILLO OSCAR GABRIEL,1684.4463187384144,91.04980111184487,0.05997526083152323,1602.8811179427903,104.83170267648171,0.05997868370078903,24.0,2.125,15.0,2.933333333333333,20.0,4.0,10.0,5.0
DELA CRUZ ARDHY,1278.4916756938042,156.91078842623352,0.05999867424904105,,,,5.0,-3.6,0.0,,0.0,5.0,,
DELA CRUZ DOMINIQUE PAUL,1584.356741913666,110.9374343171103,0.059985043924604055,1524.9029980280193,164.99375119648636,0.059993194060548975,14.0,0.9285714285714286,6.0,0.6666666666666666,10.0,4.0,3.0,3.0
DELA PAZ FRANCIS ANGELO,1497.6465065294349,159.31009523792295,0.05999736541933522,1482.8999824739544,265.36725969378153,0.05999859363916827,5.0,0.4,1.0,-4.0,3.0,2.0,0.0,1.0
DEVEZA LUIS INIGO,1336.6644202229677,136.98812866532424,0.05999412770753638,1465.982274586296,275.38115022775554,0.05999876381024752,9.0,-1.5555555555555556,1.0,-3.0,1.0,8.0,0.0,1.0
DIMAILIG CARLOS,1465.9122562351813,123.93968126824122,0.059992239480582285,1467.659515461245,204.44529642261872,0.0599966608382547,10.0,0.2,3.0,-2.0,6.0,4.0,1.0,2.0
DIVINAGRACIA JOAQUIN JIBRIL,1225.9080746318753,193.53427624824866,0.05999972827103471,,,,5.0,-3.8,0.0,,0.0,5.0,,
ENCELAN RAMIL JR.,1574.4342110421214,91.58648856174588,0.05997863683749147,1534.9455319636452,117.47622658334663,0.05998468827311601,20.0,1.2,11.0,0.7272727272727273,14.0,6.0,7.0,4.0
ENCOMIENDA ERWIN ROMMEL,1253.9591941828578,124.79273978334098,0.0599929606511623,,,,10.0,-3.5,0.0,,0.0,10.0,,
ENSAMTAN EDAN YAKOV,1613.9307431292868,83.69694372138729,0.059973859222766115,1562.2254407146597,110.16383564820609,0.05998112637003105,25.0,1.24,13.0,2.230769230769231,19.0,6.0,8.0,5.0
ERGINA LEE EIGRAN,1698.886927841854,86.92304798066475,0.059970253531003326,1671.1996323912672,88.09841108695285,0.05997092377771251,25.0,2.8,21.0,4.238095238095238,22.0,3.0,16.0,5.0
ESTEPA RODGE TRIONE,1486.2260097205042,133.59440548366575,0.05999193319943152,1460.7597053428897,227.12805956252427,0.059997069961680076,9.0,-0.4444444444444444,2.0,-2.0,3.0,6.0,0.0,2.0
ESTEPA RODLEY FOURTH,1484.1427758484003,103.41778838681539,0.059984394378464014,1448.8355129570432,165.9207281606656,0.05999302014731626,15.0,-0.26666666666666666,6.0,-3.1666666666666665,7.0,8.0,3.0,3.0
FRANCISCO MARK ANGELO,1378.2235052416004,154.23164509241383,0.05999772394581197,,,,5.0,-2.2,0.0,,0.0,5.0,,
FUENTES ENRICO GABRIEL,1614.3488599025577,84.16838563231494,0.059972029371772866,1508.8624209203201,124.19841358640333,0.05998574862476028,24.0,1.75,11.0,-0.36363636363636365,18.0,6.0,6.0,5.0
GALE VON EUBERT,1591.5956661077812,91.68437820247715,0.05997676878595393,1502.749841066388,136.2924970862224,0.05998829389107523,19.0,1.4736842105263157,9.0,0.4444444444444444,14.0,5.0,5.0,4.0
GALLANO RUZEL,1571.4934224144088,82.11485545895883,0.059977138829088894,1577.4092570354237,104.1574166588628,0.05997982919881655,25.0,0.96,15.0,1.5333333333333334,17.0,8.0,10.0,5.0
GATMAYTAN SAMUEL,1428.1191249825813,118.70728353661941,0.059991774034602534,1403.6764897969772,235.32031229771212,0.05999747236985686,14.0,-1.2857142857142858,2.0,-6.0,4.0,10.0,0.0,2.0
GERONIMO DON REYZEL,1533.4702256152661,80.52253432607006,0.05998066820352554,1452.4672112266005,144.55857466784792,0.059989380866033684,25.0,0.4,7.0,-2.7142857142857144,15.0,10.0,2.0,5.0
