player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ABERILLA RANZEL ANGELO,1471.995301247562,185.44413334480836,0.059997630649735095,1391.7927382672035,290.3189625489991,0.05999927874065883,5.0,-0.8,1.0,-10.0,2.0,3.0,0.0,1.0
ANG ZACHARY GABRIEL,1606.162937626908,167.98110825271704,0.05999774755513591,1522.9233407792253,235.4455113089888,0.05999819389086088,5.0,1.4,2.0,0.5,3.0,2.0,1.0,1.0
CABAERO ROBERT YGNATIUS,1792.1356665424455,97.22703504387431,0.05998044626826851,1608.6500398460184,109.18256926947049,0.0599810702268483,23.0,2.4782608695652173,14.0,1.7142857142857142,18.0,5.0,9.0,5.0
CADIENTE RAINIER,1394.1173959230305,183.37201683713593,0.059997892473196965,1404.9349064067621,258.49049330981205,0.0599987329919445,4.0,-2.0,1.0,-12.0,1.0,3.0,0.0,1.0
CANLAS DANIEL KARLO,1476.7379999490306,92.21709976885242,0.05998236560668655,1437.173642088656,170.1153017907008,0.05999359349468101,24.0,-0.7083333333333334,6.0,-3.6666666666666665,9.0,15.0,2.0,4.0
CARLOS CIAN MIGUEL,1341.12079142327,173.29418669445698,0.059998175286124035,1355.1027660150721,263.4243373387056,0.059999126813881594,5.0,-3.0,1.0,-10.0,1.0,4.0,0.0,1.0
CHAN JOAQUIN BENITO,1351.6143930540447,176.89339601892667,0.05999812206946064,,,,5.0,-4.4,0.0,,0.0,5.0,,
CHAN OCTAVEUS LEEROI,1603.2967967415161,96.49708796447881,0.05999064817380911,1368.4945104227443,183.885591631706,0.05999426737827689,20.0,0.5,4.0,-9.0,11.0,9.0,0.0,4.0
CRUZ KRISTOV BENEDICT,1342.1188505732862,96.47199267918319,0.05997891051216217,1250.017568422127,196.85256833716633,0.05999569467600375,24.0,-2.4583333333333335,4.0,-10.75,5.0,19.0,0.0,4.0
DAVIES KEONN LANDON,1545.6188389846752,164.57929011827198,0.05999746790059599,1442.292451270844,253.40459938141697,0.05999850778897858,6.0,1.1666666666666667,2.0,-3.5,4.0,2.0,1.0,1.0
DELA PENA HANZ ADRIAN,1542.6297987010432,183.9102323180537,0.05999764328969461,1420.9112505809062,276.25552708167976,0.05999891502435315,5.0,0.0,1.0,-5.0,2.0,3.0,0.0,1.0
DIVINAGRACIA INIGO,1555.9782028505997,104.428868279427,0.059980522286181545,1440.608763880501,176.05563111758545,0.05999350891053241,18.0,-0.16666666666666666,5.0,-3.6,8.0,10.0,1.0,4.0
EVANGELISTA ENZO,1297.3346310876263,179.75882483577487,0.05999866610748946,,,,4.0,-4.75,0.0,,0.0,4.0,,
EVANGELISTA VINCENT DYLAN,1220.6331053855597,111.39556398613271,0.059993045678298634,,,,16.0,-3.3125,0.0,,2.0,14.0,,
FELIPE PRINCE JOHN FRANCIS,1776.1369485698199,93.87695049246217,0.05998363326647531,1624.2450916480484,118.66607986627564,0.05998489772973588,22.0,3.0454545454545454,12.0,2.4166666666666665,17.0,5.0,7.0,5.0
FELIPE SHAWN NICOLLEI,1900.6072371985008,104.76979002606303,0.059984977804022586,1667.7765750380113,99.43494591052026,0.05998020132099323,25.0,3.84,16.0,3.4375,25.0,0.0,11.0,5.0
FERNANDEZ LAMAR ANDREI,1319.5419375659776,186.57470574023947,0.059998503214333934,,,,5.0,-3.2,0.0,,0.0,5.0,,
GALE BRYNT EMBER,1680.8012842673247,98.82217864149236,0.05998098987137967,1564.8131431237164,153.5084749995734,0.05999104451453851,20.0,1.55,7.0,1.5714285714285714,13.0,7.0,3.0,4.0
GAMILLA MARION,1437.2785558402531,173.9857422059118,0.05999760439968025,1399.310119886966,276.24161343369934,0.05999902005191235,5.0,-0.4,1.0,-13.0,1.0,4.0,0.0,1.0
GERONIMO PRINCE MATTHEW,1402.9000630591843,114.66809079203858,0.05998986408194852,1303.3917871345132,204.25566394480208,0.05999617930697131,15.0,-1.2666666666666666,3.0,-11.0,5.0,10.0,0.0,3.0
GONZALES DION DAVID,1530.004556471885,139.98192552859544,0.05999344561234089,1375.1779045398234,233.8894123992111,0.05999754313332072,10.0,-0.7,2.0,-7.5,4.0,6.0,0.0,2.0
GONZALEZ MATTHEW AIDAN,1655.0907849380922,173.50915831962092,0.059998145075453535,1540.6026139201253,215.97612607542382,0.05999798616960297,5.0,0.8,2.0,0.5,3.0,2.0,1.0,1.0
GUINTO CLYD LORENZO,1439.6536918900922,169.29401749566324,0.05999755283904349,1535.5187426806403,238.15159453392923,0.059998248565048366,5.0,-1.8,2.0,1.5,1.0,4.0,1.0,1.0
IDOLYANTES FRANCIS CHARWIN,1498.0289836210486,165.9782939989108,0.05999742414769772,1421.8531534323636,274.055793663661,0.05999887820711825,5.0,0.0,1.0,-4.0,2.0,3.0,0.0,1.0
JACINTO LUCAS,1221.2189693211787,139.23526096887454,0.059994888967709124,,,,10.0,-4.0,0.0,,0.0,10.0,,
JARANGDON ALWYNN,1294.6076662463547,169.49542919972677,0.0599985991270084,,,,5.0,-4.4,0.0,,0.0,5.0,,
LACERNA REINDELLE,1578.7583096074386,179.34532343874122,0.059997717190713215,1504.551050829112,234.98950704993433,0.05999817440011313,5.0,0.6,2.0,-0.5,2.0,3.0,1.0,1.0
LIM JAMES LIMUEL,1821.3851436058246,101.022986823601,0.05998412113205597,1610.5051018867944,118.25010587463011,0.05998421805191552,23.0,3.217391304347826,12.0,2.3333333333333335,21.0,2.0,7.0,5.0
MANINANG RYAN,1259.3367588353137,181.34878596956395,0.05999913815721125,,,,6.0,-3.1666666666666665,0.0,,1.0,5.0,,
MANUEL MARCUS ANTONIO,1797.8223424515072,92.12908112127394,0.05998301606881415,1635.0529430445172,112.74951026041504,0.05998311515823523,23.0,2.8260869565217392,12.0,3.25,21.0,2.0,7.0,5.0
MARAVILLA RAYNE LOUIE,1503.7930070840553,141.8037799338482,0.05999285822225992,1457.2532178061356,195.49688504528567,0.05999603078809619,9.0,-0.4444444444444444,4.0,-2.0,4.0,5.0,2.0,2.0
MERCADO JOSE LORENZO,1621.9683490304358,176.02390247165968,0.05999792022759929,1435.07564322801,290.31896195049603,0.059999075669447455,5.0,1.4,1.0,-6.0,3.0,2.0,0.0,1.0
MONTANO JOSE FRANCISCO,1472.66019112167,138.6457010665281,0.059995404618788085,1439.3316705491957,209.56000691178008,0.05999671440271288,10.0,-1.5,3.0,-1.6666666666666667,4.0,6.0,1.0,2.0
MYERS DEAN SAMUEL,1788.3565563447519,181.9790611103334,0.05999982810794812,1632.08914067573,197.97277717554343,0.059998212335821484,4.0,2.5,3.0,2.6666666666666665,4.0,0.0,2.0,1.0
NICANOR MICHAEL,1717.6681737681085,114.8021167226986,0.05998807775184729,1617.8263296940388,138.49762700312633,0.05999113063873584,15.0,2.533333333333333,8.0,3.125,12.0,3.0,5.0,3.0
NOGOT ERICK,1418.9166126314237,101.16413858322247,0.05998937416627133,1361.7556801021008,181.72596422492182,0.05999396031587072,19.0,-1.736842105263158,5.0,-6.6,6.0,13.0,1.0,4.0
OBZUNAR FRANCES AVIT,1665.7773137672286,134.32399926380455,0.059993054212604535,1492.7417159232014,190.0591033881482,0.059995656658789816,10.0,1.5,4.0,0.0,7.0,3.0,2.0,2.0
ONG JEREMY DAVID,1555.6614551810399,112.34019101482406,0.05998699728263051,1434.713195292851,184.15234573934123,0.059995015642903715,15.0,-0.06666666666666667,4.0,-5.75,7.0,8.0,1.0,3.0
