player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ACERON SEBASTIEN ADAM,1580.9790215942453,82.40788202550824,0.05996643118870231,1452.2989791013204,141.42926003253785,0.05998834198848102,28.0,0.75,8.0,-2.25,16.0,12.0,3.0,5.0
AGATEP ANDRE DOMINIC,1680.1735298722956,91.45976456721064,0.05997388002609725,1577.1759567434626,113.6748933499099,0.059982272165531106,26.0,2.269230769230769,13.0,1.8461538461538463,21.0,5.0,8.0,5.0
ALARCON JACOB LUCAS,1410.7695715524508,99.3071706547171,0.05998249327300756,1326.3048945451558,191.8536353718099,0.059994784718189635,17.0,-1.3529411764705883,4.0,-9.25,4.0,13.0,0.0,4.0
ARCE ALBERTO GREGORIO II,1454.7533104179577,167.4619653730615,0.059997492919699504,1500.0,253.404599204557,0.05999841754891583,5.0,-0.6,2.0,0.0,2.0,3.0,1.0,1.0
BABATIO CHARLES EDUARD,1754.6339938942472,93.1818647176555,0.059980005116664424,1628.1991230873334,104.43785422938883,0.05997940039063825,27.0,2.962962962962963,16.0,2.875,25.0,2.0,11.0,5.0
BARROQUILLO FERDINAND,1223.2633790735283,103.95668113612376,0.059991344759450164,,,,16.0,-3.625,0.0,,0.0,16.0,,
BAYDID ANTONIO DOMINIC,1537.093837955626,122.52998759979522,0.059990727874610246,1492.516471727249,209.2377206945726,0.059996842248307286,12.0,0.16666666666666666,3.0,-0.6666666666666666,6.0,6.0,1.0,2.0
BELLEZA LANZ JEREMY,1496.6609399197853,101.28826993684113,0.05998289581621654,1448.6791124849851,190.29813709599034,0.05999488703729434,17.0,-0.23529411764705882,4.0,-1.75,6.0,11.0,1.0,3.0
BIASON ALFONSO GABRIEL,1273.858125895581,177.58654047887563,0.05999891786916191,,,,6.0,-3.3333333333333335,0.0,,0.0,6.0,,
BUENAVENTURA CHRISTIAN ANTONIO,1746.5593724984894,112.86406402280781,0.05999381703158258,1622.1409396474294,109.97089414272273,0.0599818551555627,16.0,2.875,13.0,3.4615384615384617,13.0,3.0,8.0,5.0
BUENAVENTURA JHONEL,1357.8401727698429,116.59552538395266,0.05999557381448818,1436.4210238394605,270.9041096649208,0.05999877571563088,12.0,-1.4166666666666667,1.0,-8.0,4.0,8.0,0.0,1.0
CABREDO INIGO JOAQUIN,1416.9933598604803,100.11436131624524,0.05998409434385326,1387.8160801793827,204.5477447528252,0.05999589000427369,17.0,-0.8235294117647058,3.0,-5.666666666666667,7.0,10.0,0.0,3.0
CABRERA THOMAS ROBERT,1617.6868934661688,101.90772906233101,0.05998473736682452,1576.5530263808814,154.53011782242382,0.059992719951437005,17.0,1.588235294117647,7.0,1.1428571428571428,13.0,4.0,4.0,3.0
CAPRICHO HANS DARREN,1330.4579718605314,166.11757020154502,0.05999820417369205,,,,5.0,-3.2,0.0,,0.0,5.0,,
CHUNG DRAKE ANTHONY,1322.1749160068978,101.74933808079827,0.05998919612234692,1417.3270874069738,272.29799794640707,0.05999887190676655,17.0,-2.176470588235294,1.0,-5.0,4.0,13.0,0.0,1.0
CO BIRKIN EMELIANEN,1410.933192896008,97.25892591706875,0.059988261363590034,1325.8822948588852,176.0431540944655,0.05999421573785567,22.0,-1.3636363636363635,5.0,-6.8,9.0,13.0,1.0,4.0
COCHING VITO MISAEL,1653.4517542659569,87.80858608750144,0.059971613098954026,1521.2578365555346,129.31131992139697,0.05998610228460561,27.0,2.0,9.0,1.0,22.0,5.0,4.0,5.0
CONCEPCION CHRISTIAN ANTHONY,1750.9012820443486,85.70825354358317,0.05998181398512559,1653.3489644287263,100.36894403387225,0.05998160575542565,27.0,3.2962962962962963,17.0,4.411764705882353,25.0,2.0,13.0,4.0
