player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
ALARCON BEVERLY GAY,1354.9222441198283,165.4958911435392,0.05999799002240076,1362.7604312226274,261.79184007683284,0.059999045031267406,5.0,-2.6,1.0,-13.0,1.0,4.0,0.0,1.0
BACCAY MARTINA JENE,1470.6973466844588,86.21638104757665,0.0599737570152021,1417.4817984883787,166.2373748363256,0.059992781864797444,24.0,-1.0416666666666667,6.0,-4.0,9.0,15.0,2.0,4.0
BATHAN LADY JULIANNE,1483.2470916030568,208.5603174930941,0.05999786379521877,1415.529113934494,275.4529471316383,0.05999892688029327,4.0,-0.25,1.0,-8.0,2.0,2.0,0.0,1.0
BELARMINO HANNAH DOMINIQUE,1750.7167530508962,93.20114374792236,0.05997450225293959,1621.587652256053,115.12261808910462,0.05998314559282821,24.0,2.6666666666666665,12.0,2.9166666666666665,21.0,3.0,7.0,5.0
BERNAL OLIVIA ARTELA,1323.491310512827,166.86613482833616,0.059998276254860115,,,,5.0,-4.2,0.0,,0.0,5.0,,
CACATIAN JILLIANN NICOLE,1180.3419356094096,152.628032964254,0.05999636673279228,,,,10.0,-4.3,0.0,,0.0,10.0,,
CANLAS YUNA SAMUELLE,1454.9015559676493,88.37691747038302,0.05997269801953634,1398.0243423759127,171.3123818277322,0.05999257255097523,23.0,-1.0434782608695652,5.0,-5.2,8.0,15.0,0.0,5.0
CAPINA MIYAKE,1682.1942364459505,88.40281436457632,0.059972849677353834,1549.8311366461378,116.797470735151,0.05998496394844356,22.0,2.0,12.0,0.0,18.0,4.0,7.0,5.0
CARBONELL MARINA ANDREA,1564.5070380727288,85.04129750926828,0.05997539361380503,1525.7391429252302,119.26745946784911,0.059983944656641634,23.0,0.6086956521739131,12.0,-0.08333333333333333,14.0,9.0,7.0,5.0
CASTRO MARIAN PATRISSE,1449.5958207151764,135.0842395333134,0.05999342369222875,1445.8963693950152,290.3189618476294,0.059999040766870036,8.0,-1.125,1.0,-5.0,2.0,6.0,0.0,1.0
CATANTAN JANNA ALLYSAH,1922.3741809835778,95.76002102017252,0.059981644526544094,1735.1902965688193,96.23697818890336,0.059979419861178725,26.0,4.115384615384615,19.0,6.368421052631579,26.0,0.0,17.0,2.0
CATANTAN SOPHIA SHEKAINAH,1855.6143984309585,95.64075984631113,0.05998301782483228,1742.348421439343,91.72042646718546,0.05997291741966736,24.0,3.9166666666666665,20.0,5.5,23.0,1.0,16.0,4.0
CORPUZ ERICH CHLOE DIANE,1409.545545199844,178.93311286191712,0.0599977668165433,1418.1606839263638,270.0362153674434,0.0599988349503539,5.0,-1.4,1.0,-11.0,1.0,4.0,0.0,1.0
DARADAR PATRICIA MAE,1492.2483530752686,200.41981936670885,0.05999776760572281,1433.0430862637968,275.6678885368936,0.059998858222073306,4.0,0.0,1.0,-7.0,2.0,2.0,0.0,1.0
DAVID ANNE,1298.9650969458128,208.56031868140545,0.05999895134450626,,,,4.0,-3.0,0.0,,0.0,4.0,,
DEL CASTILLO HAGIA SOPHIA,1621.0366902443543,84.87664055320539,0.059972251549382086,1537.74135661581,136.7248316101432,0.05998775694056752,23.0,0.8260869565217391,9.0,-0.6666666666666666,14.0,9.0,4.0,5.0
DELA SERNA KAIJINSEI,1507.530734413295,93.23136690376903,0.059982151124623545,1459.7705315283592,161.50430664866533,0.05999229607464114,19.0,-0.5263157894736842,6.0,-2.8333333333333335,9.0,10.0,2.0,4.0
DIME TABITHA THERESE,1231.693054746468,114.6800154882516,0.0599886409079138,,,,15.0,-4.0,0.0,,0.0,15.0,,
DIVINAGRACIA JADA,1603.0278891192943,84.75403642331308,0.059973519861909984,1525.6216293320344,124.89559015361462,0.059984590923440335,24.0,0.9583333333333334,11.0,0.09090909090909091,15.0,9.0,6.0,5.0
EBDANE VICTORIA,1609.2161626021232,109.85658926188945,0.05999344728496868,1521.4691995605572,181.71547758673134,0.059994315811717346,15.0,0.6666666666666666,4.0,-0.5,8.0,7.0,1.0,3.0
EBDANE VICTORIA SHALIMAR,1608.6668752448622,128.93898519913327,0.05999217515176223,1468.8394899597242,202.83929088352616,0.059996763977295114,11.0,0.7272727272727273,3.0,-2.0,6.0,5.0,1.0,2.0
FAJARDO BEATRICE ERIKA,1384.2317279210863,134.43246863491296,0.05999405405460362,1308.8482994081446,231.45494644426415,0.059997894519195856,10.0,-1.4,2.0,-12.0,4.0,6.0,0.0,2.0
FERNANDEZ AUBREY PAULEAN,1529.160033061053,147.73210498467867,0.059995293300327976,1478.4453169674712,233.2340678681179,0.05999725478992019,8.0,-0.125,2.0,-1.0,3.0,5.0,0.0,2.0
FLORES MARIEL ELIANNE,1606.3673676147666,85.95239262988568,0.05997152714707897,1518.289432164406,139.16391810249107,0.059988683631005756,22.0,0.8181818181818182,9.0,-2.2222222222222223,13.0,9.0,4.0,5.0
GALVEZ WILLA LIANA,1561.5378406121104,94.10608906192964,0.05998214007445882,1392.9175758637534,176.95582288751706,0.05999353177552512,19.0,0.05263157894736842,5.0,-6.8,10.0,9.0,1.0,4.0
GEBALA GABRIELLE,1816.8965491540348,166.37100375366438,0.06000014889459882,1841.8333452613813,175.9142256562803,0.060000682609956335,5.0,3.4,4.0,10.25,4.0,1.0,4.0,0.0
GILBERT ALYZABETH LEIANA,1548.5809365906623,95.88743023524925,0.0599951216005631,1433.1738299917777,188.12810203058737,0.059995106504792166,19.0,0.0,4.0,-2.25,9.0,10.0,1.0,3.0
GONZALES SHARLANNE,1367.0771230587015,190.38366519272938,0.05999813845971576,1348.5098326371572,290.31896344677324,0.05999958335281991,5.0,-1.8,1.0,-14.0,1.0,4.0,0.0,1.0
JUICO LILY MARGUERITE,1388.7441749886932,134.58608164555136,0.0599972340872894,1396.6623099165529,260.2507825052455,0.05999880221314319,10.0,-2.4,1.0,-10.0,2.0,8.0,0.0,1.0
LOZADA WILHELMINA,1727.9378229328195,92.47770956471285,0.05998515950689498,1623.758412588266,106.97602645757055,0.05997983873581431,24.0,2.7916666666666665,16.0,3.0,23.0,1.0,11.0,5.0
MALVAR VICTORIA PAULA,1579.831143970372,87.85208758246485,0.05998621298323592,1514.520602092265,128.7344542174378,0.059986294191673895,22.0,0.5909090909090909,10.0,0.6,13.0,9.0,5.0,5.0
MARTINEZ TASHA ISABELLA,1423.3670409118963,130.47583016370575,0.05999244726404621,1368.2198915367358,269.60740799227597,0.05999911777801913,10.0,-2.1,1.0,-11.0,2.0,8.0,0.0,1.0
MARTINEZ YELENA SOFIA,1241.9034407739175,172.51965242377557,0.05999928911841875,,,,5.0,-4.2,0.0,,0.0,5.0,,
MENDOZA EIA,1375.5042497034747,106.25760937995517,0.05998185658264705,1272.5085110817927,209.13333100713083,0.059996600652200915,18.0,-2.111111111111111,3.0,-11.0,4.0,14.0,0.0,3.0
