player,rating_pool,RD_pool,vol_pool,rating_de,RD_de,vol_de,Total Pool Matches,Pool Touche Index,Total DE Matches,DE Touche Index,Pool Wins,Pool Losses,DE Wins,DE Losses
AALA ALLEAH MAE,1509.1745291790103,123.80253990837254,0.05999207760987267,1435.9006892900425,213.92025692602846,0.05999683698301282,11.0,0.2727272727272727,3.0,-3.6666666666666665,6.0,5.0,1.0,2.0
ACUZAR MA. ELISE FRANCES,1438.2117273132908,147.69162551841825,0.059997372067591315,,,,6.0,-1.6666666666666667,0.0,,2.0,4.0,,
ALARCON BEVERLY GAY,1261.0653408531118,175.3158187640312,0.05999905738133777,,,,4.0,-3.75,0.0,,0.0,4.0,,
ANG GABRIELLE WYNTER,1493.9923845812327,158.3290769848085,0.05999735780387795,1387.567836163541,179.91249045976843,0.05999542446710621,5.0,0.2,4.0,-4.0,3.0,2.0,2.0,2.0
ARANA DAVEEH,1502.0321310832471,118.45171953993236,0.059991124446492565,1473.9594303073054,171.46930894860427,0.05999563991068205,11.0,-0.36363636363636365,4.0,-3.0,3.0,8.0,2.0,2.0
ATILANO SAMANTHA INGRID,1301.2174955139162,142.97868536129636,0.05999830220785244,,,,6.0,-4.0,0.0,,0.0,6.0,,
ATILANO SIMONE MARIA,1698.0499924757248,92.85034631142206,0.05997745282462703,1488.6701426700124,128.91738012563482,0.05998723460854041,21.0,2.2857142857142856,9.0,1.0,16.0,5.0,4.0,5.0
BELTRAN SHAREEN ANGEL FRANCESS,1617.3123625993485,93.68907026667465,0.059981540049502895,1608.2556684626304,129.05993628056362,0.05998713031879552,20.0,1.5,11.0,3.090909090909091,14.0,6.0,6.0,5.0
BOY MAIEV TYRANDE,1494.9492735303743,80.21212892373069,0.05997159333580408,1418.2871965485588,145.970286374202,0.05998904054705875,27.0,-0.07407407407407407,7.0,-3.4285714285714284,14.0,13.0,2.0,5.0
BOY MEDIVH VEREEZA,1469.4136026049441,106.36562077703736,0.05998726683642484,1478.6321082577829,163.15454575742876,0.059993646190011234,16.0,-1.125,6.0,-3.1666666666666665,7.0,9.0,2.0,4.0
CABLAY PATRICIA,1455.0835885809277,141.65759842230727,0.05999269859813248,1335.237269809887,208.55185460483813,0.05999628982573642,10.0,-0.3,3.0,-9.333333333333334,4.0,6.0,0.0,3.0
CANLAS NICOL AMETHYST,1637.270289020648,80.97804092924088,0.059972571016622254,1574.6323102350966,117.933806156393,0.05998703152073303,27.0,1.7777777777777777,12.0,0.3333333333333333,21.0,6.0,7.0,5.0
CASTILLO ASHLEY GABRIELLE,1249.833943832332,162.98393260378364,0.05999909319017016,,,,6.0,-4.166666666666667,0.0,,0.0,6.0,,
CASTRO DANICA ISABELLE,1355.8524571566857,111.3735488840778,0.05998641338886885,1356.9251067851453,206.1351897452993,0.059996076721963984,16.0,-1.625,3.0,-8.666666666666666,5.0,11.0,0.0,3.0
CATANTAN KIRSTEN SHANELLE,1525.1073268677353,82.60218765314121,0.0599670006425029,1443.6197735779135,134.63731771731298,0.05998869934579101,26.0,-0.23076923076923078,9.0,-1.7777777777777777,12.0,14.0,4.0,5.0
CHACON KRISTEL CHLOE,1386.0016237055909,181.34878509510878,0.059997920832379634,,,,6.0,-1.5,0.0,,1.0,5.0,,
CO SAY MEAGAN ELIZABETH,1692.0166108434717,142.6048706269547,0.059998227666585566,1556.774977268607,197.6306486378983,0.059997823237102704,6.0,2.5,3.0,2.0,5.0,1.0,2.0,1.0
CONSUNJI JEANNE ADELINE,1341.674942116817,173.8349605954792,0.05999817560964974,1449.6292776672196,294.5696163529982,0.059999097570750205,5.0,-2.2,1.0,-14.0,1.0,4.0,0.0,1.0
DALMACIO QUEEN DENISE,1768.5224102410657,96.67768280612027,0.05998337582200664,1708.7145514095905,96.74662979334883,0.05997747448418032,22.0,3.409090909090909,19.0,4.894736842105263,21.0,1.0,14.0,5.0
DAYRO MARIA ANGELA,1652.079801255916,135.93358616015922,0.05999697116870024,1562.9681013806294,157.67771436619864,0.05999454616739073,10.0,2.2,7.0,1.0,8.0,2.0,5.0,2.0
DELA SERNA KAIKAKU,1622.7043312142043,81.80315990694092,0.059974319667075476,1500.5595147744757,113.95403984514411,0.05998302274990316,26.0,1.7307692307692308,14.0,0.7142857142857143,18.0,8.0,9.0,5.0
DIVINAGRACIA JADEN,1442.0870408699423,89.5928829750629,0.05997750099389545,1377.1177355287364,171.0143171563757,0.05999340070421823,22.0,-0.45454545454545453,5.0,-6.0,10.0,12.0,1.0,4.0
DY ELISHA ROBYN,1421.598172887479,128.4227134623187,0.059991964369339325,1292.916259717872,199.5808311354198,0.05999603862726328,10.0,-1.3,3.0,-10.333333333333334,4.0,6.0,0.0,3.0
FERNANDO SOPHIA RACHELLE,1337.7940823673375,174.54594659824267,0.05999821602879649,,,,4.0,-3.5,0.0,,0.0,4.0,,
GILLANA MA. ESTELLIAH,1636.303601524372,83.09461857796855,0.0599723528697744,1486.7607162310169,142.03351192731895,0.05998905763036154,26.0,1.7307692307692308,8.0,-1.375,18.0,8.0,3.0,5.0
GONZALES JOJERENE,1560.8107419337834,157.4698486907904,0.05999744967258005,1574.1954198622652,253.40459949691805,0.05999856672156823,6.0,0.8333333333333334,2.0,4.5,4.0,2.0,1.0,1.0
LIM ANNIKA KASSANDRA,1336.1042797537145,147.19000733832775,0.05999799246817093,,,,6.0,-3.8333333333333335,0.0,,0.0,6.0,,
LISING ADREANNE,1639.0123719458306,95.47587074211688,0.05997872888385071,1522.3918931781745,123.72577295395375,0.05998571468961617,21.0,2.142857142857143,10.0,-1.2,16.0,5.0,5.0,5.0
MALLARI MARY JOCELYN,1495.636608480826,133.79485234658816,0.059992999681651935,1384.3038861575728,237.83155018171865,0.05999779449864888,11.0,-0.09090909090909091,2.0,-7.0,5.0,6.0,0.0,2.0
MANZALAY MARTINA AISHA,1212.434853978308,101.64426325174834,0.05998221345804597,,,,22.0,-3.227272727272727,0.0,,2.0,20.0,,
MATARUM AIZA MAE,1198.567962734915,136.92487629562024,0.05999628935413844,,,,10.0,-3.4,0.0,,1.0,9.0,,
NICANOR JYLYN,1885.9808647245018,98.20951956011348,0.059980343483222634,1880.9350918592831,104.13217845414835,0.05998306077863332,29.0,4.172413793103448,21.0,11.619047619047619,29.0,0.0,21.0,0.0
NIERRAS RUTH ESTHER,1262.0370225210554,104.416041992399,0.059988245305579696,,,,15.0,-3.2,0.0,,0.0,15.0,,
OLAYRES HEATHER BAILEY,1367.5169678131572,111.83205199033962,0.0599869018538629,1419.4482428803599,197.51442149051616,0.05999522529936393,15.0,-1.3333333333333333,3.0,-4.333333333333333,4.0,11.0,0.0,3.0
ONG SKYE VENIZE CERRHIZA,1419.538423218974,158.12778543946754,0.05999753052055889,1405.0383940309375,226.61610031213658,0.059998313458071405,5.0,-1.0,2.0,-4.5,2.0,3.0,1.0,1.0
ORTULA MHARLA JADE,1462.927540273962,130.55847924306653,0.05999292797017694,1437.5980378974664,206.08130427380704,0.05999661549466111,9.0,-0.4444444444444444,3.0,-4.333333333333333,4.0,5.0,1.0,2.0
PALMADO CELYNA ZORRINE,1507.2050370205634,86.4646000097656,0.05997390231656238,1523.3785035689875,158.76289873454303,0.05999129521894445,22.0,0.3181818181818182,7.0,-2.7142857142857144,12.0,10.0,3.0,4.0
PAYOT SOPHIA KATRINA YSABEL,1347.9967245228834,160.8086579316272,0.059998004328903724,,,,6.0,-2.3333333333333335,0.0,,1.0,5.0,,
PAYOT TIFFANY KYRIE BRIELLE,1251.8403030651443,101.56596004665971,0.05998334137278161,1389.7639488517748,263.7720142874533,0.05999889213999183,20.0,-2.95,1.0,-14.0,3.0,17.0,0.0,1.0
PETERS HAILEY SOPHIA,1425.0883143916187,104.68553504052781,0.05998587502073513,1335.022995146546,197.02767005653672,0.05999561974602024,15.0,-1.0,3.0,-8.666666666666666,6.0,9.0,0.0,3.0
ROSAROS JULIENNE CARLIZE,1347.225538601681,103.88009125059085,0.05998485372912674,1377.2037117092866,208.64997381392678,0.059996045115636075,15.0,-2.066666666666667,3.0,-9.333333333333334,4.0,11.0,0.0,3.0
SALVANTE RYONA DHAE,1383.5711333039153,85.51677688561003,0.059975765576695615,1325.131751999264,199.15105356862705,0.05999533877161777,26.0,-1.2307692307692308,4.0,-7.5,10.0,16.0,0.0,4.0
SANTIAGO ALLISON SOPHIA,1506.8231279866013,126.78739966032133,0.059991247001286156,1377.7641609095378,203.46958371574078,0.059995972974550886,10.0,0.3,4.0,-7.25,5.0,5.0,1.0,3.0
SANTOS TERESA ALEGRIA,1177.8868347279483,113.26259025417568,0.05999043832545476,,,,16.0,-3.75,0.0,,1.0,15.0,,
SAYSON ANDREA CHLOE,1589.8691532918126,163.85730921458827,0.05999762392696051,1504.0259097158548,227.58722454553686,0.059998081493972184,5.0,1.8,2.0,2.5,4.0,1.0,1.0,1.0
SISON AILLANA LOUISE,1492.49889444344,174.60703417130557,0.05999750519717452,1390.4983310433072,274.46312056417577,0.059999043702156356,6.0,-0.5,1.0,-13.0,2.0,4.0,0.0,1.0
SUNGLAO ZOE BEATRICE,1185.5211818258613,160.05488561051146,0.06000005165003023,,,,5.0,-4.0,0.0,,0.0,5.0,,
SYBUENASENSO ATHENA,1285.9774368428918,159.132717001573,0.05999860493054224,1340.5517964186547,262.58394562659015,0.05999923484377856,5.0,-3.0,1.0,-15.0,1.0,4.0,0.0,1.0
TIU ARIANNA VICTORIA,1648.791890335091,85.23585804658933,0.05997306052961698,1576.6694269816373,134.59275555636586,0.05998865759459525,25.0,1.72,9.0,1.3333333333333333,18.0,7.0,4.0,5.0
TURIANO NADELLE,1574.0960518245977,115.42313652822762,0.059989994610159095,1441.9057413439732,200.42490258683446,0.059996395941977296,11.0,-0.09090909090909091,3.0,-4.666666666666667,5.0,6.0,1.0,2.0
TUY KATHLEEN GALE,1678.4499966605026,140.88517568433952,0.05999353802392104,1496.510679388012,155.59569933038418,0.05999210794876567,10.0,2.3,7.0,0.7142857142857143,7.0,3.0,4.0,3.0
TUY KIM SHAZNEE,1674.0875642588499,111.34391913491004,0.059987479874020276,1623.9109323460343,143.44482129073364,0.05999093433796304,14.0,2.142857142857143,9.0,3.7777777777777777,11.0,3.0,6.0,3.0
TUY KRYSTAL RITZ,1736.2693955397435,100.66228946722464,0.05998755351374459,1604.9762892814126,127.54548714923983,0.059987926856866526,20.0,2.55,11.0,2.6363636363636362,17.0,3.0,7.0,4.0
VICENTE KRISTINE NICOLE,1168.2045085598827,193.5342770755338,0.06000067577786298,,,,5.0,-4.6,0.0,,0.0,5.0,,
VIDAL ELIZABETH PORTIA,1462.569777192752,133.16417999898448,0.0599922944006812,1390.4262938400543,214.70849896751332,0.059996960468573494,10.0,0.0,3.0,-4.666666666666667,5.0,5.0,1.0,2.0
