Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20251,pool1,ROSAROS JULIAN GUILE,SORIANO JESSO CONNER,5,2,3,1,0.8
20251,pool1,CONCEPCION CHRISTIAN JHESTER,IBAY RAVI MICHAEL,5,1,4,1,0.9
20251,pool1,SORIANO JESSO CONNER,RAMOS ANGELO,3,5,-2,0,0.3
20251,pool1,IBAY RAVI MICHAEL,ARCE ALBERTO GREGORIO II,4,5,-1,0,0.4
20251,pool1,RAMOS ANGELO,ROSAROS JULIAN GUILE,5,3,2,1,0.7
20251,pool1,ARCE ALBERTO GREGORIO II,CONCEPCION CHRISTIAN JHESTER,2,5,-3,0,0.2
20251,pool1,SORIANO JESSO CONNER,IBAY RAVI MICHAEL,1,5,-4,0,0.1
20251,pool1,ROSAROS JULIAN GUILE,CONCEPCION CHRISTIAN JHESTER,1,5,-4,0,0.1
20251,pool1,IBAY RAVI MICHAEL,RAMOS ANGELO,5,4,1,1,0.6
20251,pool1,ROSAROS JULIAN GUILE,ARCE ALBERTO GREGORIO II,5,3,2,1,0.7
20251,pool1,CONCEPCION CHRISTIAN JHESTER,SORIANO JESSO CONNER,5,1,4,1,0.9
20251,pool1,RAMOS ANGELO,ARCE ALBERTO GREGORIO II,5,2,3,1,0.8
20251,pool1,IBAY RAVI MICHAEL,ROSAROS JULIAN GUILE,5,4,1,1,0.6
20251,pool1,RAMOS ANGELO,CONCEPCION CHRISTIAN JHESTER,1,5,-4,0,0.1
20251,pool1,ARCE ALBERTO GREGORIO II,SORIANO JESSO CONNER,5,1,4,1,0.9
20251,pool2,LAUREDO KHALIL,DIAZ MIGIE,4,5,-1,0,0.4
20251,pool2,VILLANUEVA EUNICE DANIEL,ENCISO GABRIEL JEREMY,5,1,4,1,0.9
20251,pool2,IGNACIO JEAN MATTHEW,CORTEZ LARCO,5,3,2,1,0.7
20251,pool2,BUENAVENTURA JHONEL,LAUREDO KHALIL,5,1,4,1,0.9
20251,pool2,ENCISO GABRIEL JEREMY,DIAZ MIGIE,3,5,-2,0,0.3
20251,pool2,VILLANUEVA EUNICE DANIEL,IGNACIO JEAN MATTHEW,5,1,4,1,0.9
20251,pool2,BUENAVENTURA JHONEL,CORTEZ LARCO,1,5,-4,0,0.1
20251,pool2,ENCISO GABRIEL JEREMY,LAUREDO KHALIL,5,0,5,1,1
20251,pool2,DIAZ MIGIE,IGNACIO JEAN MATTHEW,1,5,-4,0,0.1
20251,pool2,VILLANUEVA EUNICE DANIEL,CORTEZ LARCO,5,2,3,1,0.8
20251,pool2,ENCISO GABRIEL JEREMY,BUENAVENTURA JHONEL,2,5,-3,0,0.2
20251,pool2,IGNACIO JEAN MATTHEW,LAUREDO KHALIL,5,1,4,1,0.9
20251,pool2,DIAZ MIGIE,CORTEZ LARCO,0,5,-5,0,0
20251,pool2,BUENAVENTURA JHONEL,VILLANUEVA EUNICE DANIEL,1,5,-4,0,0.1
20251,pool2,IGNACIO JEAN MATTHEW,ENCISO GABRIEL JEREMY,5,0,5,1,1
20251,pool2,LAUREDO KHALIL,CORTEZ LARCO,2,5,-3,0,0.2
20251,pool2,VILLANUEVA EUNICE DANIEL,DIAZ MIGIE,5,0,5,1,1
20251,pool2,BUENAVENTURA JHONEL,IGNACIO JEAN MATTHEW,1,5,-4,0,0.1
20251,pool2,ENCISO GABRIEL JEREMY,CORTEZ LARCO,5,4,1,1,0.6
20251,pool2,LAUREDO KHALIL,VILLANUEVA EUNICE DANIEL,1,5,-4,0,0.1
20251,pool2,DIAZ MIGIE,BUENAVENTURA JHONEL,1,5,-4,0,0.1
20251,pool3,SANTOS NERITO IV,ACERON SEBASTIEN ADAM,0,5,-5,0,0
20251,pool3,FELIPE KHIANE NASH,DAYRO JULIAN,5,2,3,1,0.8
20251,pool3,BUENAVENTURA CHRISTIAN ANTONIO,SO PETER,5,0,5,1,1
20251,pool3,DIZON ARYX NIKO,SANTOS NERITO IV,4,5,-1,0,0.4
20251,pool3,DAYRO JULIAN,ACERON SEBASTIEN ADAM,4,5,-1,0,0.4
20251,pool3,FELIPE KHIANE NASH,BUENAVENTURA CHRISTIAN ANTONIO,5,3,2,1,0.7
20251,pool3,SO PETER,DIZON ARYX NIKO,2,5,-3,0,0.2
20251,pool3,DAYRO JULIAN,SANTOS NERITO IV,5,1,4,1,0.9
20251,pool3,ACERON SEBASTIEN ADAM,BUENAVENTURA CHRISTIAN ANTONIO,2,5,-3,0,0.2
20251,pool3,SO PETER,FELIPE KHIANE NASH,2,5,-3,0,0.2
20251,pool3,DAYRO JULIAN,DIZON ARYX NIKO,5,3,2,1,0.7
20251,pool3,BUENAVENTURA CHRISTIAN ANTONIO,SANTOS NERITO IV,5,0,5,1,1
20251,pool3,ACERON SEBASTIEN ADAM,SO PETER,5,3,2,1,0.7
20251,pool3,DIZON ARYX NIKO,FELIPE KHIANE NASH,0,5,-5,0,0
20251,pool3,BUENAVENTURA CHRISTIAN ANTONIO,DAYRO JULIAN,5,1,4,1,0.9
20251,pool3,SANTOS NERITO IV,SO PETER,1,5,-4,0,0.1
20251,pool3,FELIPE KHIANE NASH,ACERON SEBASTIEN ADAM,5,4,1,1,0.6
20251,pool3,DIZON ARYX NIKO,BUENAVENTURA CHRISTIAN ANTONIO,0,5,-5,0,0
20251,pool3,SO PETER,DAYRO JULIAN,0,5,-5,0,0
20251,pool3,SANTOS NERITO IV,FELIPE KHIANE NASH,1,5,-4,0,0.1
20251,pool3,ACERON SEBASTIEN ADAM,DIZON ARYX NIKO,5,0,5,1,1
20251,pool4,JIMENEZ II RAPHAEL MARTIN,RONSAYRO ENRICO JOAQUIN,5,2,3,1,0.8
20251,pool4,BELLEZA LANZ JEREMY,CABREDO INIGO JOAQUIN,5,2,3,1,0.8
20251,pool4,CONCEPCION CHRISTIAN ANTHONY,VILLADOLID JORGE FRANCISCO,5,3,2,1,0.7
20251,pool4,CABRERA THOMAS ROBERT,JIMENEZ II RAPHAEL MARTIN,5,3,2,1,0.7
20251,pool4,BELLEZA LANZ JEREMY,VILLADOLID JORGE FRANCISCO,4,5,-1,0,0.4
20251,pool4,RONSAYRO ENRICO JOAQUIN,CABRERA THOMAS ROBERT,1,5,-4,0,0.1
20251,pool4,CABREDO INIGO JOAQUIN,JIMENEZ II RAPHAEL MARTIN,5,3,2,1,0.7
20251,pool4,CONCEPCION CHRISTIAN ANTHONY,RONSAYRO ENRICO JOAQUIN,5,0,5,1,1
20251,pool4,CABRERA THOMAS ROBERT,BELLEZA LANZ JEREMY,5,4,1,1,0.6
20251,pool4,CABREDO INIGO JOAQUIN,VILLADOLID JORGE FRANCISCO,4,5,-1,0,0.4
20251,pool4,JIMENEZ II RAPHAEL MARTIN,CONCEPCION CHRISTIAN ANTHONY,5,4,1,1,0.6
20251,pool4,BELLEZA LANZ JEREMY,RONSAYRO ENRICO JOAQUIN,5,0,5,1,1
20251,pool4,CABRERA THOMAS ROBERT,VILLADOLID JORGE FRANCISCO,5,0,5,1,1
20251,pool4,CABREDO INIGO JOAQUIN,CONCEPCION CHRISTIAN ANTHONY,2,5,-3,0,0.2
20251,pool4,JIMENEZ II RAPHAEL MARTIN,BELLEZA LANZ JEREMY,5,2,3,1,0.8
20251,pool4,RONSAYRO ENRICO JOAQUIN,VILLADOLID JORGE FRANCISCO,2,5,-3,0,0.2
20251,pool4,CABREDO INIGO JOAQUIN,CABRERA THOMAS ROBERT,4,5,-1,0,0.4
20251,pool4,CONCEPCION CHRISTIAN ANTHONY,BELLEZA LANZ JEREMY,5,0,5,1,1
20251,pool4,JIMENEZ II RAPHAEL MARTIN,VILLADOLID JORGE FRANCISCO,5,3,2,1,0.7
20251,pool4,RONSAYRO ENRICO JOAQUIN,CABREDO INIGO JOAQUIN,5,1,4,1,0.9
20251,pool4,CABRERA THOMAS ROBERT,CONCEPCION CHRISTIAN ANTHONY,2,5,-3,0,0.2
20251,pool5,AGATEP ANDRE DOMINIC,BIASON ALFONSO GABRIEL,5,0,5,1,1
20251,pool5,COCHING VITO MISAEL,CO BIRKIN EMELIANEN,5,1,4,1,0.9
20251,pool5,SENDICO EILRAHC,REYES XAVIER MATTHEW,2,5,-3,0,0.2
20251,pool5,SIEMBRA JOHN BRYAN,AGATEP ANDRE DOMINIC,2,5,-3,0,0.2
20251,pool5,CO BIRKIN EMELIANEN,BIASON ALFONSO GABRIEL,5,4,1,1,0.6
20251,pool5,COCHING VITO MISAEL,SENDICO EILRAHC,5,4,1,1,0.6
20251,pool5,REYES XAVIER MATTHEW,SIEMBRA JOHN BRYAN,5,0,5,1,1
20251,pool5,CO BIRKIN EMELIANEN,AGATEP ANDRE DOMINIC,0,5,-5,0,0
20251,pool5,BIASON ALFONSO GABRIEL,SENDICO EILRAHC,1,5,-4,0,0.1
20251,pool5,REYES XAVIER MATTHEW,COCHING VITO MISAEL,5,4,1,1,0.6
20251,pool5,CO BIRKIN EMELIANEN,SIEMBRA JOHN BRYAN,5,4,1,1,0.6
20251,pool5,SENDICO EILRAHC,AGATEP ANDRE DOMINIC,3,5,-2,0,0.3
20251,pool5,BIASON ALFONSO GABRIEL,REYES XAVIER MATTHEW,1,5,-4,0,0.1
20251,pool5,SIEMBRA JOHN BRYAN,COCHING VITO MISAEL,2,5,-3,0,0.2
20251,pool5,SENDICO EILRAHC,CO BIRKIN EMELIANEN,5,1,4,1,0.9
20251,pool5,AGATEP ANDRE DOMINIC,REYES XAVIER MATTHEW,5,4,1,1,0.6
20251,pool5,COCHING VITO MISAEL,BIASON ALFONSO GABRIEL,5,1,4,1,0.9
20251,pool5,SIEMBRA JOHN BRYAN,SENDICO EILRAHC,4,5,-1,0,0.4
20251,pool5,REYES XAVIER MATTHEW,CO BIRKIN EMELIANEN,5,1,4,1,0.9
20251,pool5,AGATEP ANDRE DOMINIC,COCHING VITO MISAEL,4,5,-1,0,0.4
20251,pool5,BIASON ALFONSO GABRIEL,SIEMBRA JOHN BRYAN,3,5,-2,0,0.3
20251,pool6,SUPLICO ENRICO LUCIO,GENERAL MATTHEW LUIS,5,0,5,1,1
20251,pool6,OLARTE EYCE WIN,DAYRO JOHN PAUL,1,5,-4,0,0.1
20251,pool6,FERNANDEZ LYON MARCUS,MARUQUEZ KURT ROZAT,0,5,-5,0,0
20251,pool6,DAYRO JOHN PAUL,SUPLICO ENRICO LUCIO,5,0,5,1,1
20251,pool6,GENERAL MATTHEW LUIS,FERNANDEZ LYON MARCUS,5,1,4,1,0.9
20251,pool6,OLARTE EYCE WIN,MARUQUEZ KURT ROZAT,3,5,-2,0,0.3
20251,pool6,SUPLICO ENRICO LUCIO,FERNANDEZ LYON MARCUS,5,0,5,1,1
20251,pool6,DAYRO JOHN PAUL,MARUQUEZ KURT ROZAT,4,5,-1,0,0.4
20251,pool6,OLARTE EYCE WIN,GENERAL MATTHEW LUIS,2,5,-3,0,0.2
20251,pool6,SUPLICO ENRICO LUCIO,MARUQUEZ KURT ROZAT,1,5,-4,0,0.1
20251,pool6,FERNANDEZ LYON MARCUS,OLARTE EYCE WIN,5,4,1,1,0.6
20251,pool6,GENERAL MATTHEW LUIS,DAYRO JOHN PAUL,1,5,-4,0,0.1
20251,pool6,SUPLICO ENRICO LUCIO,OLARTE EYCE WIN,5,0,5,1,1
20251,pool6,GENERAL MATTHEW LUIS,MARUQUEZ KURT ROZAT,1,5,-4,0,0.1
20251,pool6,DAYRO JOHN PAUL,FERNANDEZ LYON MARCUS,5,1,4,1,0.9
20251,pool7,ESTRADA JOSE YNIGO,MOULIC MAIRON JEREMIAH,1,5,-4,0,0.1
20251,pool7,BAYDID ANTONIO DOMINIC,BABATIO CHARLES EDUARD,1,5,-4,0,0.1
20251,pool7,ALARCON JACOB LUCAS,SAN DIEGO MATTHEW,4,5,-1,0,0.4
20251,pool7,PALMADO MARCO ZESTER,ESTRADA JOSE YNIGO,3,5,-2,0,0.3
20251,pool7,BABATIO CHARLES EDUARD,MOULIC MAIRON JEREMIAH,5,2,3,1,0.8
20251,pool7,BAYDID ANTONIO DOMINIC,ALARCON JACOB LUCAS,5,3,2,1,0.7
20251,pool7,SAN DIEGO MATTHEW,PALMADO MARCO ZESTER,5,1,4,1,0.9
20251,pool7,BABATIO CHARLES EDUARD,ESTRADA JOSE YNIGO,5,4,1,1,0.6
20251,pool7,MOULIC MAIRON JEREMIAH,ALARCON JACOB LUCAS,5,0,5,1,1
20251,pool7,SAN DIEGO MATTHEW,BAYDID ANTONIO DOMINIC,4,5,-1,0,0.4
20251,pool7,BABATIO CHARLES EDUARD,PALMADO MARCO ZESTER,5,2,3,1,0.8
20251,pool7,ALARCON JACOB LUCAS,ESTRADA JOSE YNIGO,5,3,2,1,0.7
20251,pool7,MOULIC MAIRON JEREMIAH,SAN DIEGO MATTHEW,5,0,5,1,1
20251,pool7,PALMADO MARCO ZESTER,BAYDID ANTONIO DOMINIC,5,4,1,1,0.6
20251,pool7,ALARCON JACOB LUCAS,BABATIO CHARLES EDUARD,4,5,-1,0,0.4
20251,pool7,ESTRADA JOSE YNIGO,SAN DIEGO MATTHEW,5,3,2,1,0.7
20251,pool7,BAYDID ANTONIO DOMINIC,MOULIC MAIRON JEREMIAH,4,5,-1,0,0.4
20251,pool7,PALMADO MARCO ZESTER,ALARCON JACOB LUCAS,5,2,3,1,0.8
20251,pool7,SAN DIEGO MATTHEW,BABATIO CHARLES EDUARD,1,5,-4,0,0.1
20251,pool7,ESTRADA JOSE YNIGO,BAYDID ANTONIO DOMINIC,1,5,-4,0,0.1
20251,pool7,MOULIC MAIRON JEREMIAH,PALMADO MARCO ZESTER,5,2,3,1,0.8
20252,pool1,GALLEGOS AVIAN GUINTO SOLEIL,VILLADOLID JORGE FRANCISCO,5,4,1,1,0.6
20252,pool1,SUPLICO ENRICO LUCIO,DAKANAY JOHN LUCAS,5,1,4,1,0.9
20252,pool1,CONCEPCION CHRISTIAN JHESTER,IGNACIO JEAN MATTHEW,5,1,4,1,0.9
20252,pool1,BELLEZA LANZ JEREMY,VILLADOLID JORGE FRANCISCO,4,5,-1,0,0.4
20252,pool1,DAKANAY JOHN LUCAS,GALLEGOS AVIAN GUINTO SOLEIL,5,1,4,1,0.9
20252,pool1,SUPLICO ENRICO LUCIO,CONCEPCION CHRISTIAN JHESTER,1,5,-4,0,0.1
20252,pool1,IGNACIO JEAN MATTHEW,BELLEZA LANZ JEREMY,5,1,4,1,0.9
20252,pool1,DAKANAY JOHN LUCAS,VILLADOLID JORGE FRANCISCO,4,5,-1,0,0.4
20252,pool1,GALLEGOS AVIAN GUINTO SOLEIL,CONCEPCION CHRISTIAN JHESTER,0,5,-5,0,0
20252,pool1,IGNACIO JEAN MATTHEW,SUPLICO ENRICO LUCIO,5,3,2,1,0.7
20252,pool1,DAKANAY JOHN LUCAS,BELLEZA LANZ JEREMY,2,5,-3,0,0.2
20252,pool1,CONCEPCION CHRISTIAN JHESTER,VILLADOLID JORGE FRANCISCO,5,0,5,1,1
20252,pool1,GALLEGOS AVIAN GUINTO SOLEIL,IGNACIO JEAN MATTHEW,2,5,-3,0,0.2
20252,pool1,BELLEZA LANZ JEREMY,SUPLICO ENRICO LUCIO,3,5,-2,0,0.3
20252,pool1,CONCEPCION CHRISTIAN JHESTER,DAKANAY JOHN LUCAS,5,1,4,1,0.9
20252,pool1,IGNACIO JEAN MATTHEW,VILLADOLID JORGE FRANCISCO,5,1,4,1,0.9
20252,pool1,SUPLICO ENRICO LUCIO,GALLEGOS AVIAN GUINTO SOLEIL,5,1,4,1,0.9
20252,pool1,BELLEZA LANZ JEREMY,CONCEPCION CHRISTIAN JHESTER,3,5,-2,0,0.3
20252,pool1,IGNACIO JEAN MATTHEW,DAKANAY JOHN LUCAS,5,1,4,1,0.9
20252,pool1,SUPLICO ENRICO LUCIO,VILLADOLID JORGE FRANCISCO,5,3,2,1,0.7
20252,pool1,GALLEGOS AVIAN GUINTO SOLEIL,BELLEZA LANZ JEREMY,1,5,-4,0,0.1
20252,pool2,ACERON SEBASTIEN ADAM,ESTRADA JOSE YNIGO,2,5,-3,0,0.2
20252,pool2,COCHING VITO MISAEL,BARROQUILLO FERDINAND,5,0,5,1,1
20252,pool2,MATRIANO BRENNAN,VILLANUEVA EUNICE DANIEL,0,5,-5,0,0
20252,pool2,SAN DIEGO MATTHEW,ACERON SEBASTIEN ADAM,0,5,-5,0,0
20252,pool2,BARROQUILLO FERDINAND,ESTRADA JOSE YNIGO,3,5,-2,0,0.3
20252,pool2,COCHING VITO MISAEL,MATRIANO BRENNAN,5,3,2,1,0.7
20252,pool2,VILLANUEVA EUNICE DANIEL,SAN DIEGO MATTHEW,5,0,5,1,1
20252,pool2,BARROQUILLO FERDINAND,ACERON SEBASTIEN ADAM,2,5,-3,0,0.2
20252,pool2,ESTRADA JOSE YNIGO,MATRIANO BRENNAN,5,2,3,1,0.8
20252,pool2,VILLANUEVA EUNICE DANIEL,COCHING VITO MISAEL,5,1,4,1,0.9
20252,pool2,BARROQUILLO FERDINAND,SAN DIEGO MATTHEW,3,5,-2,0,0.3
20252,pool2,MATRIANO BRENNAN,ACERON SEBASTIEN ADAM,1,5,-4,0,0.1
20252,pool2,ESTRADA JOSE YNIGO,VILLANUEVA EUNICE DANIEL,1,5,-4,0,0.1
20252,pool2,SAN DIEGO MATTHEW,COCHING VITO MISAEL,1,5,-4,0,0.1
20252,pool2,MATRIANO BRENNAN,BARROQUILLO FERDINAND,5,3,2,1,0.7
20252,pool2,ACERON SEBASTIEN ADAM,VILLANUEVA EUNICE DANIEL,0,5,-5,0,0
20252,pool2,COCHING VITO MISAEL,ESTRADA JOSE YNIGO,5,2,3,1,0.8
20252,pool2,SAN DIEGO MATTHEW,MATRIANO BRENNAN,5,2,3,1,0.8
20252,pool2,VILLANUEVA EUNICE DANIEL,BARROQUILLO FERDINAND,5,0,5,1,1
20252,pool2,ACERON SEBASTIEN ADAM,COCHING VITO MISAEL,2,5,-3,0,0.2
20252,pool2,ESTRADA JOSE YNIGO,SAN DIEGO MATTHEW,1,5,-4,0,0.1
20252,pool3,CABRERA THOMAS ROBERT,JIMENEZ II RAPHAEL MARTIN,5,1,4,1,0.9
20252,pool3,GALIAS KARL JOZEF,ENCISO GABRIEL JEREMY,5,3,2,1,0.7
20252,pool3,FELIPE KHIANE NASH,DUYAN TIMOTHY ALLAN,5,1,4,1,0.9
20252,pool3,FERNANDEZ LYON MARCUS,CABRERA THOMAS ROBERT,4,5,-1,0,0.4
20252,pool3,ENCISO GABRIEL JEREMY,JIMENEZ II RAPHAEL MARTIN,3,5,-2,0,0.3
20252,pool3,GALIAS KARL JOZEF,FELIPE KHIANE NASH,1,5,-4,0,0.1
20252,pool3,DUYAN TIMOTHY ALLAN,FERNANDEZ LYON MARCUS,5,2,3,1,0.8
20252,pool3,ENCISO GABRIEL JEREMY,CABRERA THOMAS ROBERT,1,5,-4,0,0.1
20252,pool3,JIMENEZ II RAPHAEL MARTIN,FELIPE KHIANE NASH,2,5,-3,0,0.2
20252,pool3,DUYAN TIMOTHY ALLAN,GALIAS KARL JOZEF,4,5,-1,0,0.4
20252,pool3,ENCISO GABRIEL JEREMY,FERNANDEZ LYON MARCUS,5,2,3,1,0.8
20252,pool3,FELIPE KHIANE NASH,CABRERA THOMAS ROBERT,5,3,2,1,0.7
20252,pool3,JIMENEZ II RAPHAEL MARTIN,DUYAN TIMOTHY ALLAN,5,1,4,1,0.9
20252,pool3,FERNANDEZ LYON MARCUS,GALIAS KARL JOZEF,5,1,4,1,0.9
20252,pool3,FELIPE KHIANE NASH,ENCISO GABRIEL JEREMY,5,3,2,1,0.7
20252,pool3,CABRERA THOMAS ROBERT,DUYAN TIMOTHY ALLAN,5,3,2,1,0.7
20252,pool3,GALIAS KARL JOZEF,JIMENEZ II RAPHAEL MARTIN,1,5,-4,0,0.1
20252,pool3,FERNANDEZ LYON MARCUS,FELIPE KHIANE NASH,1,5,-4,0,0.1
20252,pool3,DUYAN TIMOTHY ALLAN,ENCISO GABRIEL JEREMY,5,4,1,1,0.6
20252,pool3,CABRERA THOMAS ROBERT,GALIAS KARL JOZEF,5,0,5,1,1
20252,pool3,JIMENEZ II RAPHAEL MARTIN,FERNANDEZ LYON MARCUS,5,1,4,1,0.9
20252,pool4,RAMOS ANGELO,MOULIC MAIRON JEREMIAH,2,5,-3,0,0.2
20252,pool4,CO BIRKIN EMELIANEN,CONCEPCION CHRISTIAN ANTHONY,0,5,-5,0,0
20252,pool4,OLARTE EYCE WIN,ALARCON JACOB LUCAS,3,5,-2,0,0.3
20252,pool4,RAMOS ANGELO,LACAP GIAN LLOYD,5,4,1,1,0.6
20252,pool4,CONCEPCION CHRISTIAN ANTHONY,MOULIC MAIRON JEREMIAH,5,3,2,1,0.7
20252,pool4,CO BIRKIN EMELIANEN,OLARTE EYCE WIN,1,5,-4,0,0.1
20252,pool4,ALARCON JACOB LUCAS,LACAP GIAN LLOYD,3,5,-2,0,0.3
20252,pool4,CONCEPCION CHRISTIAN ANTHONY,RAMOS ANGELO,5,4,1,1,0.6
20252,pool4,MOULIC MAIRON JEREMIAH,OLARTE EYCE WIN,3,5,-2,0,0.3
20252,pool4,ALARCON JACOB LUCAS,CO BIRKIN EMELIANEN,5,3,2,1,0.7
